Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,Wavelet_LL_mean,Wavelet_LL_std,Wavelet_LL_energy,Wavelet_LL_entropy,Wavelet_LH_mean,Wavelet_LH_std,Wavelet_LH_energy,Wavelet_LH_entropy,Wavelet_HL_mean,Wavelet_HL_std,Wavelet_HL_energy,Wavelet_HL_entropy,Wavelet_HH_mean,Wavelet_HH_std,Wavelet_HH_energy,Wavelet_HH_entropy
UNADJUSTEDNONRAW_thumb_234.jpg,healthy,715.7114093959731,787.8800504481779,282.21140939597313,729.301608035674,0.9889934578569193,0.98788361500864,0.9956600220004925,0.9887844614763991,2.806711409395973,3.0897256880320705,1.1067114093959731,2.860006306022251,0.5288218179745894,0.5351434068319366,0.4978076115750395,0.5313868608228287,0.6940862844016036,0.6916028785013223,0.7007939011756227,0.6924827196955662,0.8331184095923001,0.8316266460986699,0.837134338786567,0.8321554660612199,0.9626926741089966,0.9591246527804455,0.985282241006995,0.9621637120532747,91.12000000000003,193.0457603782067,256328550.0000001,0.896931976821375,-0.04533333333333334,11.2764331634116,715275.0000000002,0.4324426148643312,-0.22666666666666666,25.892636447882673,3771450.0000000014,0.5706829752204887,0.0,10.200000000000001,585225.0000000001,0.05682038936641991
UNADJUSTEDNONRAW_thumb_235.jpg,healthy,698.2550335570469,790.8089725688033,302.57718120805373,714.6569974325481,0.9892619101043114,0.987838572685252,0.9953468277118682,0.9890096730933389,2.738255033557047,3.1012116571325614,1.1865771812080537,2.8025764605197963,0.5238704998470534,0.5316762508241015,0.495806519753896,0.5267895293828206,0.6975122241740863,0.6945879202210743,0.7035035779169105,0.6957319247764142,0.8351719728140344,0.833419414353346,0.8387512014399208,0.834105463821221,0.9632081227465917,0.9585491414651174,0.9840568531901899,0.9625407056203285,89.87333333333336,191.98800471788743,252768431.2500001,0.8955984314420337,-0.29466666666666674,12.831335532810119,926606.2500000003,0.5402494538275084,-0.34,24.574262959446006,3397556.250000001,0.5712925539675622,0.06800000000000002,11.40374394661683,731531.2500000002,0.0698220570835208
UNADJUSTEDNONRAW_thumb_236.jpg,healthy,715.7114093959731,820.0981937750552,302.57718120805373,732.2305301562992,0.9889934578569192,0.9873881494513724,0.9953468277118683,0.9887394191530111,2.806711409395973,3.216071348137471,1.1865771812080537,2.8714922751227423,0.5300611189487364,0.5385968438317736,0.5008140727230299,0.5329904313512914,0.6930562767442908,0.6899429811737946,0.6993102492880701,0.6912620125707732,0.832500016062637,0.8306280642825612,0.8362477200495497,0.8314216815616329,0.9628224689824129,0.9576213932187523,0.984282669813703,0.9621619582310287,91.52800000000003,193.69002353244733,258149250.0000001,0.8945120996703553,0.09066666666666659,14.424693395547639,1170450.0000000002,0.5437047349518667,-1.5158245029548805e-17,21.232993194554556,2535975.000000001,0.56082242373333,0.04533333333333334,11.276433163411602,715275.0000000002,0.06841358659043284
UNADJUSTEDNONRAW_thumb_237.jpg,healthy,709.8926174496645,802.5246610513041,302.57718120805373,726.3726859150489,0.9890829419393833,0.9876584033917002,0.9953468277118683,0.9888295037997871,2.7838926174496645,3.1471555335345256,1.1865771812080537,2.8485203369217604,0.5280291801088043,0.5358292617304015,0.49917584653548114,0.5309551642342798,0.6945177204230039,0.6915844086532573,0.7006841693817595,0.6927279912029515,0.8333772977607464,0.8316155413730899,0.8370687960865341,0.8323028242190167,0.9629528000166953,0.9583366037639911,0.9842093901710504,0.9622900647206925,90.98400000000004,192.94520399325816,255970912.5000001,0.8978208469088317,-0.09066666666666667,14.222931468426458,1137937.5000000002,0.5422733329702493,-0.272,23.91957390924847,3218737.500000001,0.5679589765794949,0.04533333333333335,11.017165919095934,682762.5000000002,0.06555013643388921
UNADJUSTEDNONRAW_thumb_238.jpg,healthy,709.8926174496645,802.5246610513041,302.57718120805373,726.3726859150489,0.9890829419393832,0.9876584033917002,0.9953468277118682,0.9888295037997872,2.7838926174496645,3.1471555335345256,1.1865771812080537,2.8485203369217604,0.5285811338181917,0.5363830498913099,0.4997227994473325,0.5315080068760374,0.6940592345690134,0.6911245848090858,0.700225683527769,0.69226816735878,0.8331021753476661,0.8313390312075367,0.8367948873695208,0.8320265424605036,0.9630103505360413,0.9584011764986179,0.984233919900608,0.9623485101155376,91.16533333333336,193.06926735817441,256426087.5000001,0.8975702924737133,0.1813333333333334,13.384585097126553,1007887.5000000002,0.5383588088114244,-0.3626666666666667,24.866211470364536,3478837.500000001,0.5686751180441971,0.045333333333333344,10.479405750751756,617737.5000000002,0.059747683809076274
UNADJUSTEDNONRAW_thumb_239.jpg,healthy,704.0738255033557,814.2403495338048,302.57718120805373,720.5148416737984,0.9891724260218473,0.9874782340981484,0.9953468277118682,0.9889195884465629,2.7610738255033556,3.1930994099364893,1.1865771812080537,2.825548398720778,0.5273045186976035,0.5362221027519591,0.498833554501622,0.5302292669943206,0.6948920739306038,0.691696369997313,0.700970983289041,0.6931037263644301,0.8336018677585865,0.831682854216265,0.8372400989495432,0.8325285138446791,0.9632206685494682,0.9576872907769307,0.9841940063187795,0.9625578184572836,90.8706666666667,192.54135124579233,254979281.2500001,0.9020770608225781,0.24933333333333332,13.703570078227385,1056656.2500000005,0.5404172329102532,-0.06800000000000003,26.609122044892803,3982781.2500000014,0.5756864233597919,-0.022666666666666672,10.885287604019576,666506.2500000002,0.06411862113787337
UNADJUSTEDNONRAW_thumb_23a.jpg,healthy,715.7114093959731,799.5957389306787,282.21140939597313,711.7280753119229,0.9889934578569192,0.9877034457150881,0.9956600220004925,0.9890547154167267,2.806711409395973,3.1356695644340347,1.1067114093959731,2.7910904914193058,0.5266768704760664,0.5337335472573415,0.4956823085584492,0.5280972181814151,0.6958662682862132,0.6932129477150971,0.7025745056528986,0.6945328312388608,0.834185991422904,0.8325941074227569,0.8381971758798157,0.8333863637226498,0.9624662227749043,0.9582654086215936,0.985192830824863,0.9628516274543855,90.41733333333336,192.36443494806645,254133956.2500001,0.8993881840405122,-0.20400000000000007,13.70431990286275,1056656.2500000005,0.5441945892948008,-0.3853333333333334,24.573593921570005,3397556.2500000014,0.5731039429290968,-0.15866666666666668,11.8989421752057,796556.2500000002,0.07535229443820357
UNADJUSTEDNONRAW_thumb_23b.jpg,healthy,704.0738255033558,796.6668168100535,302.57718120805373,720.5148416737984,0.9891724260218474,0.987748488038476,0.9953468277118683,0.988919588446563,2.761073825503356,3.1241835953335433,1.1865771812080537,2.825548398720778,0.5288215807525491,0.5366340696859292,0.5003370720855896,0.5317487673263541,0.6936315901686112,0.6906957743221417,0.6997104995270483,0.6918395678746588,0.8328454779661177,0.8310810876936989,0.8364869990185432,0.831768938993672,0.9633774705446512,0.9587766084174014,0.9842613923001807,0.9627170796716202,91.36933333333336,193.12999489002794,256767468.7500001,0.8990863061361365,0.15866666666666668,12.606538973441083,894093.7500000002,0.5351125223559927,-0.20400000000000007,26.280570465650097,3885243.7500000014,0.5714484404355662,0.06800000000000002,10.057105746684778,568968.7500000002,0.05530611489631542
UNADJUSTEDNONRAW_thumb_23c.jpg,healthy,110.55704697986576,263.60299085626775,168.74496644295303,181.59317147876223,0.9982998024331827,0.9959461908950841,0.997404961608542,0.9972073759499468,0.43355704697986575,1.0337372190441874,0.6617449664429531,0.7121300842304401,0.14300521386281181,0.15024243468147597,0.14288949619439384,0.14450995343133533,0.9414074320976534,0.9411588397986246,0.9429627614371726,0.9424114093641198,0.9702615276808895,0.9701334134017984,0.97106269696512,0.9707787643763742,0.9701165885832209,0.9260292685816252,0.9523391922950897,0.9490423850228974,495.1533333333334,84.08951473809853,1418894268.7500002,0.6134268000971528,0.7480000000000001,12.58532860119274,894093.7500000002,0.035315863878423406,-0.022666666666666675,9.465172276415377,503943.7500000001,0.5156904739655257,0.068,5.637852073263364,178818.75000000006,0.01668289688259387
UNADJUSTEDNONRAW_thumb_23d.jpg,healthy,704.0738255033558,1025.1227422188192,503.32550335570465,828.8849601369308,0.9891724260218474,0.9842351868142156,0.9922596268668579,0.9872530224812086,2.761073825503356,4.020089185171839,1.9738255033557046,3.250529255438944,0.5830599620647696,0.6033597064572896,0.567641930378042,0.5911348732545607,0.6474454383936661,0.6426596872559577,0.651862411603081,0.6456168583432205,0.8046399433247557,0.8016605810790235,0.8073799673035497,0.803502867663346,0.9683254977195905,0.9538795838660981,0.9772644066363965,0.9627055850245587,110.97600000000004,207.9046594571656,312412612.5000001,0.9486361654963191,0.544,19.963067499760655,2243362.5000000005,0.5644543233136091,0.6346666666666668,22.156199995085398,2763562.500000001,0.5707550212646176,0.09066666666666667,12.946496806300752,942862.5000000002,0.08782081473673854
