Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
IMG_20220503_150405.jpg,bird eye spot,182.59547244094492,258.84301568603144,127.54669045275588,217.35067270134542,0.4295101567800723,0.3661302052899953,0.3927716673521393,0.3671313131015401,4.006889763779528,5.073904147808296,3.818220964566929,4.673383346766694,7.221585215384585,7.421606197680868,7.32509690452196,7.422874601984821,0.00120497225857733,0.000987744736974997,0.0010831990047769158,0.0009784614398418456,0.0347127103317694,0.03142840652936443,0.03291198876970086,0.031280368281748946,0.9775742412062915,0.968375190895587,0.9843315944075229,0.9734425414572118
IMG_20220503_154020.jpg,bird eye spot,106.27183809055119,135.93031186062376,77.8099163385827,155.72732345464692,0.47966417616024765,0.3949123802216784,0.43142370915484873,0.39837836179224034,3.0625615157480315,3.8430156860313724,3.061146653543308,3.9205158410316825,7.069936702396868,7.3077463946502075,7.208675918224225,7.313436734158696,0.001474758320610391,0.0011494451657760654,0.001255576302656512,0.0011250164480612924,0.03840258221279386,0.03390346834434591,0.0354341121330352,0.033541264854821624,0.9806943152455879,0.975439599773453,0.9858709780879374,0.97186409448804
IMG_20220503_154034.jpg,bird eye spot,222.7340674212599,255.79484158968313,127.66418553149606,271.1223262446524,0.42362162268795905,0.3613018408888844,0.3940786830534517,0.37098622184266605,4.600086122047245,5.227168454336908,4.124446358267717,5.27013454026908,7.34644098945854,7.516553500970739,7.424487611264283,7.511605797950398,0.0011491744174894605,0.0009378378853477896,0.001033039602700299,0.0009401692806733615,0.03389947518014785,0.030624138932348607,0.032140933444757,0.030662179972620367,0.9669047217473854,0.9622191346114364,0.981045825893688,0.9599554453833509
IMG_20220503_154044.jpg,bird eye spot,77.97465551181102,99.95889391778783,47.635088582677156,112.49990699981402,0.5067152075928688,0.4088288453548685,0.44785186971449653,0.4234770731781422,2.586983267716535,3.096472192944386,2.466658464566929,3.3788207576415155,6.92585268981394,7.1719798105262225,7.070460526624259,7.170503932918124,0.001605458472147413,0.0011837760670995333,0.00132473989313213,0.0012230061660197724,0.0400681728076963,0.03440604695543406,0.036396976428436055,0.03497150505797216,0.988256258871329,0.9849805392054953,0.9928211317293828,0.9830964334333925
IMG_20220503_154100.jpg,bird eye spot,74.26667076771655,181.0305660611321,131.97920767716533,150.7216814433629,0.38807982999905455,0.3696711980374613,0.4321623566599972,0.34857984322703617,3.2173351377952764,4.464876929753859,3.4260580708661417,4.068944137888276,7.506276494941633,7.602830784664816,7.37205953923254,7.578900634977448,0.0008533115210761675,0.0008034933919703537,0.0009910937790625581,0.0007713670334650485,0.02921149638543304,0.028345959006009194,0.031481641937207754,0.027773495161125265,0.9885946636654623,0.9722630734549281,0.9798196435022776,0.9769071698936316
IMG_20220503_154108.jpg,bird eye spot,90.04964320866142,120.41583483166966,79.08759842519684,147.92070184140368,0.48263102188221174,0.39528198641812906,0.418617943912422,0.3983536403622226,2.5242987204724407,3.354020708041416,2.9747785433070866,3.7425134850269703,7.001210463044616,7.254520774460452,7.223325402047928,7.3021760259604225,0.0014260388017846351,0.0011071763727010617,0.0011797506505169262,0.0011089542298124834,0.03776292893546044,0.033274259912146234,0.034347498460833015,0.03330096439763394,0.9810481176403033,0.9744841724904192,0.9831848557616637,0.9686561216793806
IMG_20220503_154119.jpg,bird eye spot,78.01863927165354,96.93136586273172,52.835014763779526,118.77097154194311,0.4480299614613148,0.3690923358374848,0.38496284037931544,0.37213507364726073,2.783895177165354,3.566619133238267,3.0693897637795278,3.930373860747722,7.312200710754841,7.543344938895295,7.534337302197222,7.610862223079536,0.0010594002511247211,0.000823572606287131,0.0008608250248727061,0.0008129688898723076,0.0325484293188584,0.02869795474048858,0.029339819782553303,0.028512609313640653,0.9884362814370103,0.9856307813322037,0.992137298737959,0.9823943572682906
IMG_20220503_154133.jpg,bird eye spot,164.61534202755905,209.33374666749336,136.52903543307087,284.6757393514787,0.45407367490700634,0.3473341223114825,0.3802324250842548,0.36484892795774987,3.8890871062992125,4.970797941595883,4.238312007874016,5.6678653357306725,7.385030494661503,7.662185847281023,7.613511498015756,7.682740838322136,0.0010938779812129937,0.0008052693270740872,0.0008740677881746389,0.0008187618210440092,0.0330738262257785,0.02837726778733441,0.029564637460564924,0.028614014416785512,0.9799672053887745,0.9744933701087437,0.9832958491700826,0.9653168934547596
IMG_20220503_154153.jpg,bird eye spot,163.4831446850394,217.52507905015813,90.50627460629921,209.5227230454461,0.4485268319095292,0.35573687016797834,0.40601949960229855,0.3866248587829,3.7921998031496074,5.031558063116126,3.4920029527559056,4.698617397234795,7.3684902952978675,7.6339355880431565,7.497710814463238,7.58857664219299,0.0011147061478693273,0.0008330346501352684,0.0009716108909756882,0.0009104684958703415,0.03338721533565397,0.028862339651096695,0.031170673572697916,0.030173970502244837,0.981529220486237,0.9753532217181755,0.9897115435166728,0.9762599570054318
IMG_20220503_154217.jpg,bird eye spot,123.53949311023625,177.20577841155682,103.88127460629923,184.08128216256432,0.4352224935105098,0.36286792827089404,0.3722774104227061,0.358352988359836,3.422367125984253,4.5705251410502825,3.9083415354330717,4.740715481430963,7.289798239053727,7.53258014074116,7.498214221857423,7.589320396646802,0.001181761946043424,0.0009264403797578132,0.0009695655377638884,0.0009040451461769686,0.03437676462442945,0.030437483137700682,0.03113784735276169,0.030067343517127823,0.9800415440541504,0.9712255803981545,0.9830561484938356,0.9701084801234343
IMG_20220503_154303.jpg,bird eye spot,145.07148129921262,204.93204786409572,100.96296751968505,214.43034286068573,0.5257664521399208,0.4308146536707046,0.4664186449779427,0.4344525657144621,3.3729084645669296,4.3263066526133045,3.262180118110237,4.462334924669849,6.843365118769558,7.117254681985214,6.992746330256342,7.115803248780016,0.0019346070796633788,0.0014420996663928967,0.0016041964456975795,0.0014502893411515636,0.043984168511674505,0.03797498737844289,0.040052421221414065,0.038082664575257386,0.9793916093962185,0.9709437895239456,0.9856134204121406,0.9695927832773549
